ID_LINHA;SAFRA;SCORE_INTERNO;FAIXA_BUREAU;PORTE_EMPRESA;SETOR;REGIAO;UF;CANAL;PRODUTO;MIX_RISCO;FLAG_RESTRITIVO;CODIGO_VENDEDOR;DIA_SEMANA;TEMPO_ATIVIDADE_MESES;FATURAMENTO_MENSAL;QTD_FUNCIONARIOS;LIMITE_PRE_APROVADO;DECISAO_ANALISE;QTD_PROPOSTA;QTD_ALTAS;QTD_ATRS_OVER_30;QTD_INFER_CONV;QTD_INFER_FL_ATRS
L003333;202510;R04;B2;MEI;CONSTRUCAO;NORDESTE;CE;LOJA;CAPITAL_GIRO;MEDIO;SIM;V003;SEG;41;11908,97;1;5000;APROVADO;1;0;;0,396058;0,027421
L003334;202502;R02;B1;MEI;SAUDE;NORDESTE;BA;PARCEIRO;CARTAO;BAIXO;NAO;V344;SEG;36;4859,08;1;2500;APROVADO;8;5;0;3,644714;0,046948
L003335;202502;R02;B1;MICRO;SERVICOS;NORTE;AM;DIGITAL;CARTAO;BAIXO;NAO;V009;QUI;15;15322,00;4;6600;APROVADO;1;1;0;0,517229;0,007417
L003336;202506;R03;B2;MEI;CONSTRUCAO;SUDESTE;RJ;LOJA;CARTAO;MEDIO;NAO;V282;QUI;19;13098,62;1;6100;APROVADO;1;1;0;0,435623;0,009045
L003337;202512;R01;B1;MICRO;TECNOLOGIA;SUDESTE;MG;DIGITAL;CARTAO;BAIXO;NAO;V132;SEG;59;10974,08;6;5300;APROVADO;8;7;0;3,915425;0,026389
L003338;202512;R05;B3;MEI;COMERCIO;SUL;RS;DIGITAL;CARTAO;BAIXO;NAO;V011;TER;55;10045,19;1;3600;APROVADO;29;16;0;17,006356;0,474489
L003339;202506;R04;B2;PEQUENA;COMERCIO;CENTRO-OESTE;MS;TELEVENDAS;CAPITAL_GIRO;MEDIO;NAO;V168;SEG;81;111706,90;17;46200;APROVADO;4;3;0;1,546827;0,023785
L003340;202505;R06;B4;PEQUENA;COMERCIO;SUDESTE;SP;PARCEIRO;FINANCIAMENTO;BAIXO;;V029;QUI;49;39070,47;9;13300;APROVADO;11;6;0;4,411410;0,222966
L003341;202502;R01;B1;MICRO;SERVICOS;SUL;SC;LOJA;FINANCIAMENTO;BAIXO;NAO;V020;QUA;106;11348,04;4;6500;APROVADO;1;0;;0,295802;0,001527
L003342;202510;R06;B3;PEQUENA;SAUDE;NORDESTE;BA;LOJA;CAPITAL_GIRO;MEDIO;NAO;V318;TER;79;28608,12;5;9300;APROVADO;5;3;0;2,500807;0,069119
L003343;202511;R09;B5;PEQUENA;COMERCIO;SUL;PR;LOJA;CAPITAL_GIRO;ALTO;NAO;V284;QUI;20;70209,67;21;12200;REPROVADO;19;0;;9,638523;1,060355
L003344;202503;R07;B4;GRANDE;SAUDE;CENTRO-OESTE;MT;DIGITAL;CARTAO;ALTO;NAO;V210;SEG;275;6484982,55;900;1654700;REPROVADO;1;0;;0,653659;0,040455
L003345;202504;R03;B3;MICRO;AGRO;SUDESTE;SP;TELEVENDAS;CARTAO;BAIXO;NAO;V349;QUA;48;31937,75;7;12900;APROVADO;7;0;;2,829216;0,047219
L003346;202507;R04;B2;MEI;COMERCIO;SUL;SC;PARCEIRO;CAPITAL_GIRO;MEDIO;NAO;V154;SEX;;7919,81;1;3200;APROVADO;8;2;0;3,348160;0,085979
L003347;202506;R02;B1;MEI;INDUSTRIA;SUDESTE;SP;DIGITAL;CARTAO;BAIXO;NAO;V162;SAB;23;4876,55;1;2400;APROVADO;5;2;0;2,778400;0,043387
L003348;202504;R10;B5;GRANDE;INDUSTRIA;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;ALTO;NAO;V006;SEG;359;13485514,98;1019;2053500;REPROVADO;1;0;;0,611967;0,117958
L003349;202505;R04;B2;MICRO;SERVICOS;CENTRO-OESTE;GO;DIGITAL;FINANCIAMENTO;MEDIO;NAO;V144;SEX;31;9118,49;2;3800;APROVADO;1;0;;0,473053;0,010116
L003350;202512;R05;B3;MEDIA;SERVICOS;NORTE;RO;DIGITAL;CAPITAL_GIRO;MEDIO;SIM;V102;TER;89;1884240,16;73;711700;REPROVADO;25;0;;12,197035;1,245332
L003351;202512;R03;B2;MICRO;COMERCIO;NORDESTE;CE;TELEVENDAS;CARTAO;BAIXO;NAO;V232;QUA;13;16364,92;6;7800;APROVADO;3;0;;1,143638;0,021605
L003352;202504;R03;B2;MEI;INDUSTRIA;SUDESTE;SP;DIGITAL;CARTAO;BAIXO;NAO;V029;QUA;16;1608,36;1;800;PENDENTE;31;0;;17,793097;0,658039
L003353;202506;R04;B2;PEQUENA;INDUSTRIA;SUDESTE;SP;TELEVENDAS;CARTAO;MEDIO;NAO;V019;TER;317;452746,45;11;193700;APROVADO;18;5;0;8,092961;0,113736
L003354;202511;R05;B3;MICRO;SERVICOS;SUDESTE;SP;PARCEIRO;CAPITAL_GIRO;MEDIO;SIM;V028;SEG;35;41983,42;4;15100;REPROVADO;2;0;;0,939953;0,074924
L003355;202502;R05;B3;MICRO;INDUSTRIA;NORDESTE;PE;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V008;TER;70;34677,68;4;12200;APROVADO;2;1;0;1,128728;0,026462
L003356;202504;R01;B1;MEI;COMERCIO;SUDESTE;SP;LOJA;CAPITAL_GIRO;BAIXO;NAO;V344;SEG;39;4571,37;1;2500;APROVADO;2;2;0;0,723888;0,006692
L003357;202512;R06;B4;PEQUENA;SAUDE;NORDESTE;BA;TELEVENDAS;FINANCIAMENTO;MEDIO;SIM;V021;QUI;18;219069,07;32;69700;REPROVADO;2;0;;0,754636;0,074440
L003358;202506;R07;B4;MEDIA;TECNOLOGIA;SUDESTE;RJ;LOJA;CAPITAL_GIRO;ALTO;NAO;V262;QUA;41;80408,85;150;22000;APROVADO;6;0;;3,086269;0,110124
L003359;202504;R04;B3;PEQUENA;AGRO;SUL;SC;DIGITAL;CARTAO;MEDIO;NAO;V089;QUA;66;50198,13;19;22200;APROVADO;2;1;0;1,112222;0,018241
L003360;202503;R06;B3;MICRO;COMERCIO;SUL;SC;DIGITAL;CARTAO;MEDIO;NAO;V287;TER;62;32211,32;4;9900;APROVADO;5;4;0;2,931016;0,099748
L003361;202503;R03;B2;MICRO;SERVICOS;NORDESTE;AL;PARCEIRO;CARTAO;BAIXO;NAO;V338;TER;120;5792,78;2;2300;APROVADO;2;1;0;0,987778;0,018333
L003362;202505;R01;B1;MICRO;SERVICOS;SUL;RS;DIGITAL;CARTAO;BAIXO;NAO;V160;DOM;22;24925,71;3;12500;APROVADO;1;1;0;0,493555;0,003758
L003363;202510;R06;B3;MICRO;SERVICOS;SUDESTE;SP;LOJA;CAPITAL_GIRO;MEDIO;NAO;V023;SEG;83;30634,08;8;9400;APROVADO;1;0;;0,471323;0,015171
L003364;202505;R03;B2;MICRO;COMERCIO;SUDESTE;RJ;DIGITAL;CAPITAL_GIRO;ALTO;NAO;V051;SEG;29;37358,64;11;18100;APROVADO;2;1;0;1,000844;0,015740
L003365;202510;R10;B5;GRANDE;COMERCIO;SUDESTE;SP;LOJA;CARTAO;ALTO;NAO;V110;QUA;296;10388887,66;436;1302900;REPROVADO;2;0;;1,252197;0,245271
L003366;202504;R06;B3;MEI;SERVICOS;NORDESTE;CE;PARCEIRO;CARTAO;MEDIO;NAO;V288;SEG;61;53221,82;1;15500;APROVADO;6;3;0;3,166661;0,134519
L003367;202503;R08;B4;MEDIA;CONSTRUCAO;SUL;PR;PARCEIRO;CAPITAL_GIRO;ALTO;NAO;V026;QUA;103;294676,99;219;70800;REPROVADO;1;0;;0,504588;0,052948
L003368;202506;R06;B3;PEQUENA;SERVICOS;SUL;RS;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V027;QUA;106;43853,92;17;12100;APROVADO;1;0;;0,513545;0,015769
L003369;202511;R03;B2;MICRO;TECNOLOGIA;SUL;PR;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V026;SEG;226;125399,54;7;57200;APROVADO;2;0;;0,916431;0,006954
L003370;202511;R04;B2;MEI;TECNOLOGIA;SUDESTE;MG;LOJA;FINANCIAMENTO;MEDIO;NAO;V066;SEG;278;20873,30;1;8900;APROVADO;7;5;0;2,394354;0,023267
L003371;202511;R10;B4;MEDIA;SAUDE;SUL;PR;DIGITAL;FINANCIAMENTO;BAIXO;NAO;V138;QUI;53;260486,13;51;33800;REPROVADO;3;0;;1,638429;0,228971
L003372;202509;R08;B5;GRANDE;SAUDE;SUL;SC;LOJA;CARTAO;ALTO;NAO;V017;QUA;168;4684034,48;610;936400;REPROVADO;2;0;;1,157909;0,175945
L003373;202509;R04;B2;MICRO;TECNOLOGIA;SUDESTE;SP;LOJA;CARTAO;MEDIO;NAO;V028;QUA;84;28264,45;10;9600;APROVADO;21;9;0;10,023445;0,183353
L003374;202505;R06;B3;PEQUENA;COMERCIO;NORDESTE;CE;DIGITAL;CARTAO;MEDIO;NAO;V009;QUA;38;210212,85;36;61400;APROVADO;2;1;0;1,134128;0,049563
L003375;202504;R02;B1;MEI;INDUSTRIA;SUL;RS;LOJA;CAPITAL_GIRO;BAIXO;NAO;V196;SEX;8;16888,68;1;8000;APROVADO;1;1;0;0,385891;0,004444
L003376;202506;R03;B1;PEQUENA;SERVICOS;NORTE;AM;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V002;TER;41;61057,06;22;25800;REPROVADO;1;0;;0,492702;0,006529
L003377;202505;R04;B2;MEDIA;COMERCIO;CENTRO-OESTE;GO;LOJA;FINANCIAMENTO;MEDIO;NAO;V123;QUA;89;216871,37;65;73100;APROVADO;1;0;;0,369193;0,006381
L003378;202509;R05;B3;PEQUENA;AGRO;SUDESTE;SP;TELEVENDAS;CARTAO;MEDIO;NAO;V080;DOM;194;102829,08;28;33000;REPROVADO;1;0;;0,432085;0,015316
L003379;202506;R10;B4;GRANDE;TECNOLOGIA;SUL;SC;LOJA;CAPITAL_GIRO;ALTO;NAO;V030;QUA;169;25693671,55;1278;3304900;REPROVADO;1;0;;0,534734;0,103676
L003380;202511;R05;B3;PEQUENA;TECNOLOGIA;SUL;PR;DIGITAL;CARTAO;MEDIO;SIM;V015;SAB;212;139948,80;28;45100;REPROVADO;2;0;;1,187055;0,039362
L003381;202507;R03;B1;PEQUENA;SERVICOS;SUDESTE;RJ;DIGITAL;FINANCIAMENTO;BAIXO;NAO;V096;TER;84;50089,10;17;18800;APROVADO;1;0;;0,427867;0,004548
L003382;202512;R03;B2;MICRO;SERVICOS;NORDESTE;CE;TELEVENDAS;CAPITAL_GIRO;BAIXO;NAO;V032;SAB;26;4104,05;4;1700;APROVADO;7;3;0;2,517618;0,061776
L003383;202506;R01;B1;MICRO;TECNOLOGIA;NORDESTE;AL;DIGITAL;FINANCIAMENTO;BAIXO;NAO;V008;SEX;90;40761,25;2;20500;APROVADO;7;3;0;2,924213;0,015038
L003384;202508;R02;B1;MEI;AGRO;SUDESTE;SP;DIGITAL;FINANCIAMENTO;BAIXO;NAO;V091;SEG;6;8719,89;1;3800;APROVADO;4;1;0;1,674075;0,031671
L003385;202511;R06;B3;GRANDE;SERVICOS;SUL;PR;PARCEIRO;CARTAO;MEDIO;;V013;SEG;277;1234554,46;686;332700;APROVADO;7;5;1;3,541348;0,167456
L003386;202506;R06;B3;MEDIA;COMERCIO;SUDESTE;SP;PARCEIRO;FINANCIAMENTO;MEDIO;NAO;V014;SEX;480;716310,16;84;243300;REPROVADO;1;0;;0,460305;0,015154
L003387;202511;R03;B2;MICRO;SERVICOS;SUDESTE;SP;PARCEIRO;CAPITAL_GIRO;BAIXO;NAO;V053;SEX;62;5859,39;6;2500;APROVADO;1;1;0;0,414160;0,008056
L003388;202503;R08;B4;GRANDE;COMERCIO;NORTE;RO;PARCEIRO;CARTAO;ALTO;SIM;V235;TER;324;969043,41;661;244300;REPROVADO;1;0;;0,538317;0,107229
L003389;202508;R01;B1;MEI;COMERCIO;SUDESTE;ES;PARCEIRO;CAPITAL_GIRO;ALTO;NAO;V037;QUI;5;6518,64;1;3700;APROVADO;1;1;0;0,414421;0,005470
L003390;202507;R04;B2;MICRO;AGRO;SUDESTE;RJ;LOJA;CARTAO;MEDIO;SIM;V279;SEX;104;37961,12;10;16100;APROVADO;3;2;0;1,466618;0,053008
L003391;202512;R04;B2;MEI;CONSTRUCAO;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V022;TER;20;19220,76;1;7200;APROVADO;5;2;0;2,425704;0,085916
L003392;202509;R04;B1;MEI;AGRO;NORDESTE;BA;PARCEIRO;CAPITAL_GIRO;MEDIO;NAO;V005;QUA;29;1213,91;1;500;APROVADO;6;2;0;2,884062;0,266327
L003393;202505;R01;B1;MEI;SAUDE;SUL;PR;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V348;SEG;80;3117,64;1;1700;APROVADO;6;5;0;2,769249;0,019096
L003394;202512;R03;B1;MEI;INDUSTRIA;SUDESTE;RJ;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V207;QUI;32;7280,71;1;3600;APROVADO;166;81;1;84,916932;1,580586
L003395;202508;R03;B2;MEI;SERVICOS;SUDESTE;SP;PARCEIRO;CAPITAL_GIRO;BAIXO;NAO;V312;TER;32;3022,24;1;1200;APROVADO;1;1;0;0,464276;0,014157
L003396;202512;R08;B4;MEDIA;CONSTRUCAO;SUL;PR;DIGITAL;CAPITAL_GIRO;ALTO;NAO;V020;SEX;190;541738,86;114;136100;REPROVADO;6;0;;3,271261;0,340065
L003397;202503;R08;B4;GRANDE;COMERCIO;SUDESTE;SP;PARCEIRO;CAPITAL_GIRO;ALTO;SIM;V029;SAB;448;1778384,30;624;379600;REPROVADO;3;0;;1,604625;0,372826
L003398;202505;R01;B1;MEI;COMERCIO;SUDESTE;RJ;LOJA;CAPITAL_GIRO;ALTO;NAO;V020;SEG;75;3966,76;1;2000;APROVADO;2;2;0;0,745981;0,006194
L003399;202505;R02;B1;MEI;SERVICOS;NORDESTE;PE;LOJA;CARTAO;BAIXO;NAO;V306;QUA;71;17664,70;1;8600;REPROVADO;7;0;;3,086512;0,029102
L003400;202501;R01;B1;MICRO;SERVICOS;NORDESTE;CE;LOJA;FINANCIAMENTO;ALTO;NAO;V028;QUI;356;6886,90;10;3400;APROVADO;1;0;;0,332000;0,001797
L003401;202509;R03;B2;MEI;COMERCIO;SUDESTE;MG;PARCEIRO;FINANCIAMENTO;BAIXO;NAO;V014;TER;24;9934,36;1;4900;APROVADO;2;1;0;0,790640;0,026585
L003402;202504;R04;B2;PEQUENA;CONSTRUCAO;SUDESTE;MG;DIGITAL;CARTAO;MEDIO;NAO;V024;SEX;77;48999,29;55;18100;APROVADO;6;5;1;3,354694;0,081049
L003403;202507;R02;B1;PEQUENA;COMERCIO;SUDESTE;RJ;LOJA;CARTAO;BAIXO;NAO;V030;QUI;169;41843,23;27;20700;APROVADO;1;0;;0,436632;0,002679
L003404;202511;R03;B2;MICRO;CONSTRUCAO;NORDESTE;RN;PARCEIRO;CARTAO;BAIXO;SIM;V269;SAB;13;20190,16;5;9900;REPROVADO;1;0;;0,477071;0,030123
L003405;202505;R03;B2;MEI;TECNOLOGIA;SUDESTE;RJ;TELEVENDAS;CARTAO;BAIXO;NAO;V179;QUI;42;4540,37;1;1800;APROVADO;22;9;1;9,113612;0,187537
L003406;202512;R06;B3;PEQUENA;COMERCIO;CENTRO-OESTE;DF;PARCEIRO;CARTAO;MEDIO;SIM;V148;SEG;454;651196,89;19;171300;REPROVADO;2;0;;1,016773;0,100223
L003407;202511;R02;B1;MICRO;CONSTRUCAO;NORTE;AM;LOJA;CAPITAL_GIRO;BAIXO;NAO;V025;TER;135;61673,94;3;29100;APROVADO;21;4;0;8,177823;0,196192
L003408;202505;R04;B2;MEI;SERVICOS;SUDESTE;SP;DIGITAL;CARTAO;MEDIO;NAO;V251;QUA;25;7852,08;1;2700;APROVADO;5;5;0;2,843558;0,079502
L003409;202511;R06;B3;MEDIA;SAUDE;SUDESTE;SP;TELEVENDAS;CAPITAL_GIRO;MEDIO;NAO;V030;TER;95;735205,06;207;197500;APROVADO;2;1;0;0,801785;0,033651
L003410;202508;R07;B4;PEQUENA;COMERCIO;SUL;SC;PARCEIRO;CARTAO;ALTO;NAO;V071;QUI;54;186361,14;19;47100;APROVADO;2;1;0;1,180577;0,076767
L003411;202506;R05;B3;MICRO;CONSTRUCAO;SUDESTE;ES;DIGITAL;CARTAO;MEDIO;NAO;V287;SEG;49;18382,81;3;7100;APROVADO;1;0;;0,576502;0,027809
L003412;202512;R10;B5;GRANDE;COMERCIO;SUL;SC;DIGITAL;CARTAO;ALTO;NAO;V256;SEG;200;3984000,96;1692;532600;REPROVADO;2;0;;1,363553;0,338897
L003413;202509;R03;B2;MICRO;CONSTRUCAO;SUDESTE;MG;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V050;SEX;35;11189,60;3;4300;APROVADO;1;0;;0,490406;0,014631
L003414;202510;R08;B4;MEI;SAUDE;SUDESTE;RJ;DIGITAL;FINANCIAMENTO;ALTO;SIM;V221;QUA;38;9568,39;1;2400;REPROVADO;1;0;;0,496706;0,036232
L003415;202510;R08;B5;MEI;SERVICOS;NORDESTE;CE;DIGITAL;CARTAO;ALTO;NAO;V002;SEG;42;2648,92;1;600;REPROVADO;2;0;;1,238094;0,061722
L003416;202504;R03;B2;MEI;CONSTRUCAO;SUDESTE;SP;DIGITAL;CARTAO;BAIXO;NAO;V020;TER;27;1308,53;1;500;APROVADO;1;1;0;0,577028;0,028665
L003417;202506;R01;B1;MEI;AGRO;SUL;PR;DIGITAL;CARTAO;BAIXO;NAO;V171;SEG;18;6673,51;1;4000;APROVADO;2;2;0;1,065018;0,010585
L003418;202510;R03;B2;MEI;SERVICOS;CENTRO-OESTE;GO;LOJA;CARTAO;BAIXO;NAO;V025;QUA;19;10580,89;1;5100;APROVADO;5;3;0;2,261213;0,044912
L003419;202507;R03;B2;MICRO;COMERCIO;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V001;SAB;175;59468,70;5;25800;APROVADO;7;2;0;3,608168;0,036870
L003420;202501;R02;B1;PEQUENA;TECNOLOGIA;SUL;PR;TELEVENDAS;FINANCIAMENTO;BAIXO;NAO;V114;QUI;29;115131,19;15;58500;APROVADO;4;2;0;1,068452;0,009993
L003421;202504;R05;B3;MEI;INDUSTRIA;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V164;SEX;7;17226,50;1;6100;APROVADO;5;3;0;2,525764;0,099144
L003422;202505;R08;B4;MEDIA;INDUSTRIA;NORDESTE;BA;PARCEIRO;CARTAO;BAIXO;SIM;V277;SEG;146;1022989,82;135;239800;REPROVADO;2;0;;1,120475;0,334333
L003423;202505;R05;B3;MEDIA;COMERCIO;SUDESTE;SP;TELEVENDAS;CAPITAL_GIRO;MEDIO;NAO;V211;TER;123;514906,45;101;203100;APROVADO;2;1;0;0,830002;0,028692
L003424;202503;R05;B3;MICRO;CONSTRUCAO;SUL;RS;DIGITAL;FINANCIAMENTO;MEDIO;NAO;V263;SEX;121;18622,98;4;7100;APROVADO;2;2;0;0,920416;0,031162
L003425;202502;R06;B3;MEI;SERVICOS;SUDESTE;SP;TELEVENDAS;CARTAO;MEDIO;NAO;V278;TER;13;64473,39;1;22700;APROVADO;2;2;0;0,950407;0,037860
L003426;202508;R04;B2;MEI;SERVICOS;SUDESTE;MG;LOJA;CAPITAL_GIRO;MEDIO;NAO;V117;QUA;36;5328,49;1;2100;APROVADO;2;1;0;0,808514;0,024696
L003427;202505;R03;B1;MICRO;COMERCIO;NORDESTE;MA;LOJA;CAPITAL_GIRO;BAIXO;NAO;V117;SEG;51;5238,17;4;2500;APROVADO;2;0;;0,866754;0,016978
L003428;202506;R04;B2;MEDIA;CONSTRUCAO;NORTE;RO;PARCEIRO;CAPITAL_GIRO;MEDIO;NAO;V027;SAB;206;376240,28;179;136800;APROVADO;8;3;1;3,881681;0,265689
L003429;202507;R02;B1;MICRO;SAUDE;NORDESTE;CE;LOJA;FINANCIAMENTO;MEDIO;NAO;V016;SEG;32;15634,72;6;8600;REPROVADO;12;0;;3,846913;0,037513
L003430;202511;R09;B5;GRANDE;COMERCIO;SUDESTE;SP;LOJA;FINANCIAMENTO;ALTO;NAO;V327;QUI;480;1859028,54;660;370100;REPROVADO;1;0;;0,481350;0,068110
L003431;202509;R09;B5;MEDIA;COMERCIO;CENTRO-OESTE;GO;LOJA;CARTAO;ALTO;NAO;V014;SEG;310;587981,94;126;108500;REPROVADO;2;0;;1,228812;0,182896
L003432;202512;R03;B2;MICRO;INDUSTRIA;NORTE;AM;TELEVENDAS;CAPITAL_GIRO;BAIXO;NAO;V118;SEX;55;15321,46;6;6500;APROVADO;25;10;1;9,274509;0,161521
L003433;202512;R06;B3;PEQUENA;INDUSTRIA;NORDESTE;PB;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V003;TER;57;25973,07;34;7600;APROVADO;2;2;0;1,046646;0,045838
L003434;202508;R04;B2;PEQUENA;AGRO;SUDESTE;SP;PARCEIRO;FINANCIAMENTO;MEDIO;SIM;V130;DOM;98;68024,82;55;25000;APROVADO;2;0;;0,818339;0,044063
L003435;202503;R08;B5;GRANDE;CONSTRUCAO;SUL;RS;LOJA;CAPITAL_GIRO;ALTO;NAO;V013;SEX;310;8353050,51;612;1674000;REPROVADO;18;0;;9,245250;1,331513
L003436;202505;R03;B2;MEI;SAUDE;SUDESTE;SP;LOJA;CARTAO;BAIXO;NAO;V035;TER;30;4234,46;1;2000;APROVADO;1;1;0;0,470138;0,007369
L003437;202508;R05;B3;PEQUENA;INDUSTRIA;SUDESTE;SP;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V044;TER;36;154384,45;8;53700;APROVADO;2;1;0;0,981939;0,033409
L003438;202501;R01;B1;MEI;COMERCIO;SUL;PR;DIGITAL;CARTAO;BAIXO;NAO;V008;SEX;34;9976,17;1;4900;APROVADO;2;1;0;0,956583;0,007645
L003439;202504;R06;B3;PEQUENA;COMERCIO;NORDESTE;PE;DIGITAL;FINANCIAMENTO;MEDIO;NAO;V314;SEX;215;27441,44;56;8100;APROVADO;1;0;;0,528497;0,013098
L003440;202505;R04;B2;MEI;SERVICOS;SUDESTE;SP;TELEVENDAS;FINANCIAMENTO;MEDIO;NAO;V002;TER;35;10791,57;1;3900;APROVADO;5;2;0;1,709836;0,039410
L003441;202501;R05;B3;MICRO;SAUDE;CENTRO-OESTE;GO;DIGITAL;FINANCIAMENTO;MEDIO;NAO;V028;QUI;69;6582,04;3;2100;APROVADO;27;11;0;13,671066;0,397339
L003442;202507;R02;B1;MEI;TECNOLOGIA;CENTRO-OESTE;DF;DIGITAL;CAPITAL_GIRO;BAIXO;NAO;V144;SEX;27;11897,74;1;5100;APROVADO;2;1;0;0,896637;0,010524
L003443;202512;R02;B1;MEI;COMERCIO;SUDESTE;SP;LOJA;FINANCIAMENTO;BAIXO;NAO;V030;SEG;21;43889,84;1;21100;APROVADO;2;1;0;0,691708;0,005599
L003444;202502;R05;B3;PEQUENA;AGRO;NORDESTE;PE;PARCEIRO;CAPITAL_GIRO;MEDIO;NAO;V006;SEX;224;475099,39;50;159300;PENDENTE;5;0;;2,498906;0,086603
L003445;202511;R04;B2;MEI;SERVICOS;NORDESTE;CE;PARCEIRO;CAPITAL_GIRO;MEDIO;NAO;V322;QUI;27;4993,27;1;2100;APROVADO;1;1;0;0,483226;0,015688
L003446;202510;R04;B2;MICRO;COMERCIO;CENTRO-OESTE;MT;TELEVENDAS;CARTAO;MEDIO;NAO;V007;QUA;30;49089,07;8;20900;APROVADO;1;1;0;0,458955;0,010790
L003447;202502;R02;B2;PEQUENA;SERVICOS;SUDESTE;ES;LOJA;CAPITAL_GIRO;MEDIO;SIM;V011;TER;30;151405,73;24;69900;APROVADO;1;0;;0,405651;0,010051
L003448;202505;R05;B3;MICRO;INDUSTRIA;NORDESTE;BA;DIGITAL;FINANCIAMENTO;MEDIO;NAO;V137;QUA;61;46483,74;6;18000;APROVADO;1;0;;0,455052;0,014116
L003449;202509;R02;B1;MICRO;COMERCIO;SUDESTE;MG;PARCEIRO;FINANCIAMENTO;BAIXO;NAO;V024;QUI;78;22652,27;7;9500;PENDENTE;1;0;;0,376784;0,005219
L003450;202508;R09;B5;GRANDE;SAUDE;NORDESTE;CE;LOJA;CARTAO;ALTO;SIM;V013;TER;480;3499491,38;866;633600;REPROVADO;5;0;;2,975714;0,807165
L003451;202508;R03;B2;MICRO;COMERCIO;SUDESTE;MG;PARCEIRO;CAPITAL_GIRO;BAIXO;NAO;V341;TER;17;22150,05;5;10300;APROVADO;1;1;0;0,402868;0,008344
L003452;202507;R05;B3;PEQUENA;SERVICOS;NORTE;AM;TELEVENDAS;CARTAO;MEDIO;NAO;V006;SAB;103;224288,93;18;76900;APROVADO;1;0;;0,432499;0,013156
L003453;202511;R01;B1;MICRO;COMERCIO;NORTE;AC;LOJA;CARTAO;BAIXO;NAO;V289;SEX;31;25288,92;8;14900;APROVADO;2;0;;0,876471;0,023798
L003454;202507;R02;B1;MICRO;SERVICOS;SUDESTE;RJ;PARCEIRO;CAPITAL_GIRO;BAIXO;NAO;V015;SEG;30;3722,51;10;1800;APROVADO;1;0;;0,388128;0,007583
L003455;202507;R02;B2;MICRO;COMERCIO;SUL;PR;LOJA;CARTAO;BAIXO;NAO;V118;QUI;80;22350,12;3;9400;APROVADO;1;0;;0,467188;0,004068
L003456;202508;R02;B2;MEI;SERVICOS;SUL;PR;DIGITAL;CARTAO;BAIXO;NAO;V011;SEG;177;2841,68;1;1500;APROVADO;1;0;;0,533865;0,005159
L003457;202507;R06;B3;MEI;COMERCIO;SUDESTE;RJ;LOJA;CARTAO;MEDIO;NAO;V028;QUI;54;29756,39;1;9200;APROVADO;7;3;0;3,666517;0,145329
L003458;202510;R02;B1;MICRO;SERVICOS;SUDESTE;RJ;PARCEIRO;CAPITAL_GIRO;BAIXO;NAO;V030;QUA;37;22356,40;8;10700;APROVADO;2;0;;0,792393;0,008052
L003459;202504;R05;B3;MICRO;INDUSTRIA;NORDESTE;PI;DIGITAL;CAPITAL_GIRO;MEDIO;NAO;V005;TER;47;9613,77;3;3700;APROVADO;18;9;0;10,013814;0,417239
L003460;202509;R08;B5;GRANDE;SAUDE;SUDESTE;SP;LOJA;CARTAO;ALTO;NAO;V145;QUA;378;2090067,99;1590;441300;REPROVADO;4;0;;2,222866;0,274772
L003461;202511;R04;B2;MICRO;INDUSTRIA;SUDESTE;SP;LOJA;CARTAO;MEDIO;NAO;V289;QUA;65;47639,36;3;17900;APROVADO;1;1;0;0,461400;0,006828
L003462;202505;R07;B4;MEI;COMERCIO;NORDESTE;RN;DIGITAL;CARTAO;ALTO;NAO;V010;SAB;51;25573,04;1;7100;REPROVADO;18;0;;11,316178;0,232232
L003463;202505;R03;B2;PEQUENA;SERVICOS;NORDESTE;BA;LOJA;CARTAO;BAIXO;SIM;V279;SEG;274;26659,02;13;11400;APROVADO;6;2;0;2,721621;0,042743
L003464;202511;R04;B2;MEI;COMERCIO;SUL;PR;LOJA;CARTAO;MEDIO;SIM;V198;SEG;25;1516,07;1;600;APROVADO;6;1;0;2,837151;0,247767
L003465;202507;R04;B1;PEQUENA;TECNOLOGIA;SUDESTE;RJ;DIGITAL;CARTAO;MEDIO;NAO;V002;SEG;222;124283,01;28;49100;APROVADO;1;1;0;0,594348;0,007395
L003466;202503;R03;B2;MEI;AGRO;NORDESTE;CE;DIGITAL;CARTAO;BAIXO;SIM;V012;TER;40;7766,17;1;3100;APROVADO;1;1;0;0,521914;0,023499
